0;6;13.09
1;7;24.95
2;7;43.69
2;3;64.94
2;14;57.19
3;4;33.41
3;8;27.13
3;15;62.32
4;9;31.4
5;9;36.02
6;7;42.67
6;13;20.27
7;14;26.97
8;9;32.04
9;10;13.91
10;11;28.93
11;12;30.26
13;14;32.6
13;17;35.74
14;15;25.98
15;16;22.58
16;8;67.9
16;18;48.42
16;20;36.17
17;18;42.37
18;19;13.91
18;20;53.51
20;10;98.91
19;21;38.14
21;22;97.51
22;11;37.28
